Institute,Program,Quota,SeatType,Gender,OpeningRank,ClosingRank
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,15304,17561
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),20844,20844
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,3445,3445
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,9967,13939
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),17994,17994
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,3332,3674
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),5831,5831
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,2591,2591
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,13124,13544
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),20396,20396
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,536,536
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1824,1860
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,4198,4496
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),9212,9212
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,1792,1792
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),4406,4406
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1137,1137
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,58132,62072
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),47336,61257
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,3247,3247
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,10683,11366
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),12856,12856
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,47662,54108
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),54120,54120
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,9989,10908
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),12620,12620
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,16378,25418
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,22294,35741
